url,scheme,has_https,url_length,hostname_length,path_length,query_length,count_dots,count_slash,count_at,count_dash,count_underscore,count_equals,count_digits,num_subdomains,has_ip,uses_shortner,has_suspicious_word,num_path_tokens,long_hostname,many_digits,label
https://shaarifshaikh25.github.io/Amazon-Clone/,https,1,47,25,14,0,2,4,0,1,0,0,2,1,0,0,0,1,0,0,1
http://dpd-ptsrti.cfd/,http,0,22,14,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(pku2tcixuhb0jiaadyzclxv4))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,3,1,0,0,1,3,0,0,1
https://kunal119911.github.io/Netflix-Clone-Project-/,https,1,53,21,24,0,2,4,0,3,0,0,6,1,0,0,0,1,0,1,1
https://rbfcu-star.azurewebsites.net/(S(40421lijq1n2hxntakd5ebgc))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,8,1,0,0,1,3,0,1,1
https://advertiser-business-network-moderation-harassment.pages.dev/form_submit,https,1,79,59,12,0,2,3,0,4,1,0,0,1,0,0,0,1,1,0,1
https://rbfcu-star.azurewebsites.net/(S(escrw2sg3govy5giopne3fcg))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,4,1,0,0,1,3,0,0,1
https://mybdopersonal.deallocate-device.workers.dev/bdo-form/zEytMhGacNB5Bm0eVhYO5gqmm9WbNKXmeZMdEy2ue4/,https,1,104,43,53,0,3,5,0,2,0,0,6,2,0,0,0,2,1,1,1
https://rbfcu-star.azurewebsites.net/(S(pivivix4auvfmpayho2l4ppc))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,3,1,0,0,1,3,0,0,1
https://dpd-ptsrtc.cfd/,https,1,23,14,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(ctxaqyno5canbkhgeryauv54))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,3,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(vncvtst32r1eyxsjl3sh0dhj))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
http://meta-patchcore.pages.dev/,http,0,32,24,1,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1
http://campaign-tracking-review-center.pages.dev/welcome_to_meta_for_business,http,0,77,41,29,0,2,3,0,3,4,0,0,1,0,0,0,1,1,0,1
https://rbfcu-star.azurewebsites.net/(S(qnr5qrgkttpzall4t34dk1lc))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://rahul-rb-frontend.github.io/demo1,https,1,41,27,6,0,2,3,0,2,0,0,1,1,0,0,0,1,0,0,1
https://emoniteringc.top/,https,1,25,16,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
https://vpass-jp.nlxxa.cn/,https,1,26,17,1,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1
https://theprotikraj.github.io/amazonclonewebsite.com/,https,1,54,22,24,0,3,4,0,0,0,0,0,1,0,0,0,1,0,0,1
https://www.roserunkh.com/o5wAjD0gCEquW3j8aDSPtiUskigS73CW6ZH5rViThyhlI6zsA-2k1FoCurjrWjA58cMU2VfiPXOJN6vJeBoQbw~~,https,1,114,17,89,0,2,3,0,1,0,0,15,1,0,0,0,1,0,1,1
https://kron-meta-vram.pages.dev/,https,1,33,24,1,0,2,3,0,2,0,0,0,1,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(phrszfc1kdeid5ma1gfi4zcg))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,4,1,0,0,1,3,0,0,1
https://data-center-dispute-takedown.pages.dev/,https,1,47,38,1,0,2,3,0,3,0,0,0,1,0,0,0,0,1,0,1
https://rbfcu-star.azurewebsites.net/(S(uq0vofy1k1db3fditbu51gbo))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,6,1,0,0,1,3,0,1,1
http://login-coenbase-io.framer.ai/,http,0,35,27,1,0,2,3,0,2,0,0,0,1,0,0,1,0,0,0,1
https://dava-dosyalarim.com/giris.php,https,1,37,19,10,0,2,3,0,1,0,0,0,0,0,0,0,1,0,0,1
http://xfh4ukygyngxvx2.duckdns.org/en/main,http,0,42,27,8,0,2,4,0,0,0,0,2,1,0,0,0,2,0,0,1
https://rbfcu-star.azurewebsites.net/(S(hfnx4bds43mmruxmozxio2w2))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://rishan1011.github.io/netflix-website-clone/,https,1,51,20,23,0,2,4,0,2,0,0,4,1,0,0,0,1,0,0,1
https://rbfcu-star.azurewebsites.net/(S(er4c2ijh0wcgsiv0j2nkadpq))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://theprotikraj.github.io/amazonclonewebsite.com,https,1,53,22,23,0,3,3,0,0,0,0,0,1,0,0,0,1,0,0,1
http://rbx025k.blogspot.dk/,http,0,27,19,1,0,2,3,0,0,0,0,3,1,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(qdznx2veg4ilrywhvckicylf))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,2,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(2pilf2yh5bwqhxusncga5bib))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,4,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(2iu1j52rjq1mltma35gxmdc1))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,8,1,0,0,1,3,0,1,1
https://meta-sygnok-kralyx-havlon.pages.dev/,https,1,44,35,1,0,2,3,0,3,0,0,0,1,0,0,0,0,1,0,1
https://thedigitalnomadblog.com/wp-content/mexi.html,https,1,52,23,21,0,2,4,0,1,0,0,0,0,0,0,0,2,0,0,1
https://booking.truth-verifi6600952.com/LJJCLBDI/,https,1,49,31,10,0,2,4,0,1,0,0,7,1,0,0,0,1,1,1,1
https://rbfcu-star.azurewebsites.net/(S(ey4zxdxwlltuy4aiho4rse55))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,5,1,0,0,1,3,0,0,1
https://rbfcu-star.azurewebsites.net/(S(uscjl03r1y4iqzznz1fek20i))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,7,1,0,0,1,3,0,1,1
http://amber-trace.pages.dev/,http,0,29,21,1,0,2,3,0,1,0,0,0,1,0,0,0,0,0,0,1
https://rbfcu-star.azurewebsites.net/(S(pnb4lc42owfc2d4hyalr1mya))/Main/Login,https,1,77,28,41,0,2,5,0,1,0,0,6,1,0,0,1,3,0,1,1
http://www.rbx025k.blogspot.dk/,http,0,31,23,1,0,3,3,0,0,0,0,3,2,0,0,0,0,0,0,1
https://info.pro.ssiwishbuy.shop/login/,https,1,39,24,7,0,3,4,0,0,0,0,0,2,0,0,1,1,0,0,1
